Text,Author,Title,Year,Original (if translated),Genre,Publisher Location,Publisher Name,Nationality of Author,Keywords,Origin,first_name,gender_signal,polarity
Bankim-Chandra-Chatterji-Rajmohans-Wife-a-Novel-1864-fiction.txt,Bankim Chandra Chatterji,Rajmohan's Wife,1935,1864.0,Fiction,,,South Asian,Written originally in English,,Bankim,M,0.08104534577853964
Bankim-Chandra-Chatterji-The-Poison-Tree-A-Tale-of-Hindu-Life-in-Bengal.txt,Bankim Chandra Chatterji,Poison Tree: A Tale of Hindu Life in Bengal,1884,1873.0,Fiction,London,T. Fisher Unwin,South Asian,Translation; Translated by Miriam S. Knight.,Gutenberg,Bankim,M,0.11465980241059857
Collected-Poems-of-Henry-Derozio-Downloadable.txt,Henry Louis Vivian Derozio,Collected Poems,1828,,Poetry,Calcutta,Samuel Smith and Co.,South Asian,,,Henry,M,0.18236204462452021
Cornelia-Sorabji-Between-the-Twilights-1908-nonfiction.txt,Cornelia Sorabji,Between the Twilights: Being Studies of Indian Women By one of Themselves,1908,,Fiction,"London, New York",Harper and Brothers,South Asian,,HathiTrust,Cornelia,F,0.1381492302023946
Cornelia-Sorabji-Indian-Tales-of-the-Great-Ones-Among-Men-and-Bird-People-Fiction.txt,Cornelia Sorabji,"Indian Tales of the Great Ones Among Men, and Bird-People",1916,,Fiction,"Bombay, London, Glasgow",Blackie and Son,South Asian,Juvenile Fiction,HathiTrust,Cornelia,F,0.23345405771253183
Cornelia-Sorabji-Love-and-Life-Beyond-the-Purdah-1901-fiction.txt,Cornelia Sorabji,Love and Life Behind the Purdah,1901,,Fiction,London,Freemantle & Co.,South Asian,With Introductory note by Marchioness of Dufferin,Gutenberg,Cornelia,F,0.08917832160724319
Cornelia-Sorabji-Shubala-A-Child-Mother-1920-nonfiction.txt,Cornelia Sorabji,Shubala-A Child Mother,1920,,Nonfiction,Calcutta,Baptist Mission Press,South Asian,Pamphlet,HathiTrust,Cornelia,F,0.09863392646001343
Cornelia-Sorabji-Sun-Babies-Studies-in-the-Child-Life-of-India-1904-Fiction.txt,Cornelia Sorabji,Sun-Babies: Studies in the Child-Life of India,1904,,Fiction,London,John Murray,South Asian,,HathiTrust,Cornelia,F,0.1177295616551962
Dhan-Gopal-Mukerji-Beast-and-Man-in-India-1923.txt,Dhan Gopal Mukerji,Caste and Outcast,1923,,Nonfiction,New York,Dutton & Company,South Asian,From India to the U.S.,HathiTrust,Dhan,A,0.08974366877306082
Dhan-Gopal-Mukerji-Kari-the-Elephant-1922-Fiction.txt,Dhan Gopal Mukerji,Kari the Elephant,1922,,Fiction,New York,Dutton & Company,South Asian,Juvenile Fiction,Gutenberg,Dhan,A,0.005733715831878641
Dhan-Gopal-Mukerji-Layla-Majnu-A-Musical-Play-in-Three-Acts-1916-Drama.txt,Dhan Gopal Mukerji,Layla-Majnu: A Musical Play in Three Acts,1916,,Fiction,San Francisco,Paul Elder & Co.,South Asian,Adapted from the traditional Arabic/Persian story (often retold orally in Indian languages),HathiTrust,Dhan,A,0.09593540251120035
Dhan-Gopal-Mukerji-Rajani-Songs-of-the-Night-1916-Poetry.txt,Dhan Gopal Mukerji,Rajani: Songs of the Night,1916,,Poetry,San Francisco,Paul Elder & Co.,South Asian,"Introduction by David Starr Jordan, Stanford Univesity",HathiTrust,Dhan,A,0.1512924666534238
Dhan-Gopal-Mukerji-Songs-of-Twilight-1917-Poetry.txt,Dhan Gopal Mukerji,Sandhya: Songs of Twilight,1917,,Poetry,San Francisco,Paul Elder & Co.,South Asian,,Gutenberg,Dhan,A,0.11590138862188604
E-M-Forster-A-Passage-to-India-1923-fiction.txt,Edward Morgan Forster,A Passage to India,1924,,Fiction,London,Edward Arnold & Co.,British,,Gutenberg,Edward,M,0.07365466752274692
Edmund-Candler-Abdication-1922-fiction.txt,Edmund Candler,Abdication,1922,,Fiction,"London, Bombay",Constable & Co.,British,,HathiTrust,Edmund,M,0.04995120747414294
Edmund-Candler-Siri-Ram-Revolutionist-A-Transcript-from-Life-Fiction.txt,Edmund Candler,"Siri Ram, Revolutionist",1911,,Fiction,"London, Bombay",Constable & Co.,British,,HathiTrust,Edmund,M,0.04417735489486134
Edmund-Candler-The-Mantle-of-the-East-1910-Nonfiction.txt,Edmund Candler,Mantle of the East,1910,,Nonfiction,London,William Blackwood and Sons,British,,HathiTrust,Edmund,M,0.07545755189284069
Edmund-Candler-The-Sepoy-1919-Nonfiction.txt,Edmund Candler,The Sepoy,1919,,Fiction,London,John Murray,British,,Gutenberg,Edmund,M,0.10229094000534189
Edmund-Candler-The-Year-of-Chivalry-1916-nonfiction.txt,Edmund Candler,Year of Chivalry,1916,,Nonfiction,London,"Simpkin, Marshall, Hamilton, Kent & Co.",British,,HathiTrust,Edmund,M,0.081436098073148
Edward-S-Ellis-The-Jungle-Fugitives-A-Tale-of-Life-and-Adventure-in-India-1903-Fiction.txt,Edward Sylvester Ellis,Jungle Fugitives: A Tale of Life and Adventure in India,1903,,Fiction,New York,Hurst and Company,American,,Gutenberg,Edward,M,0.0719962052388158
F-W-Bain-Digit-of-the-Moon-A-Hindoo-Love-Story-Translation-Fiction-1901.txt,Francis William Bain,A Hindoo Love Story,1898,,Fiction,London,Methuen & Co. Ltd.,British,"Translation from Sanskrti (""The Churning of the Ocean of Time"": Sansara-Sagara-Manthanam)",HathiTrust,Francis,M,0.1048873788163046
Flora-Annie-Steel-A-Prince-of-Dreamers-1909-fiction.txt,Flora Annie Steel,A Prince of Dreamers,1909,,Fiction,New York,"Doubleday, Page & Company",British,Historical fiction based on Emperor Akbar,Gutenberg,Flora,F,0.09188955700702657
Flora-Annie-Steel-Adventures-of-Akbar-1913.txt,Flora Annie Steel,The Adventures of Akbar,1913,,Fiction,London,William Heinemann,British,Juvenile Fiction,Gutenberg,Flora,F,0.07129790921813779
Flora-Annie-Steel-From-the-Five-Rivers.txt,Flora Annie Steel,From the Five Rivers,1893,,Fiction,London,William Heinemann,British,,Gutenberg,Flora,F,0.06205760743126548
Flora-Annie-Steel-On-the-face-of-the-waters.txt,Flora Annie Steel,On the Face of the Waters,1896,,Fiction,New York,Macmillan Company,British,Sepoy Mutiny; 1857,Gutenberg,Flora,F,0.06772800964345296
Flora-Annie-Steel-Tales-of-the-Punjab-Folklore-of-India.txt,Flora Annie Steel,Tales of the Punjab: Folklore of India,1894,,Fiction,,,British,Juvenile Fiction,Gutenberg,Flora,F,0.12071671533991081
Flora-Annie-Steel-The-Flower-of-Forgiveness-1894-fiction.txt,Flora Annie Steel,The Flower of Forgiveness,1894,,Fiction,"London, New York",Macmillan and Co.,British,,,Flora,F,0.08009377050638977
Flora-Annie-Steel-The-Potters-Thumb-1900.txt,Flora Annie Steel,Potter's Thumb,1900,,Fiction,London,William Heinemann,British,,Gutenberg,Flora,F,0.08588438300065553
Flora-Annie-Steel-Voices-in-the-Night-1900.txt,Flora Annie Steel,Voices in the Night,1900,,Fiction,London,William Heinemann,British,,Gutenberg,Flora,F,0.07377382101208305
Frederick-P-Gibbon-The-Disputed-V-C-A-Tale-of-the-Indian-Mutiny.txt,Frederick Gibbon,Disputed V.C: A Tale of the Indian Mutiny,1904,,Fiction,London,Blackie & Son,British,Sepoy Mutiny; 1857,Gutenberg,Frederick,M,0.09652818379838135
G-A-Henty-At-The-Point-of-the-Bayonet-A-Tale-of-the-Mahratta-War.txt,George Alfred Henty,At the Point of the Bayonet: A Tale of the Mahratta War,1901,,Fiction,London,,British,Historical fiction; War; Mahratta; Maratha; Maharashtra,Gutenberg,George,M,0.1039363810635487
G-A-Henty-In-Times-of-Peril-A-Tale-of-India-Fiction.txt,George Alfred Henty,In Times of Peril: A Tale of India,1881,,Fiction,,,British,,Gutenberg,George,M,0.0692530326141287
G-A-Henty-Rujub-the-Juggler-Fiction.txt,George Alfred Henty,"Rujub, The Juggler",1893,,Fiction,,,British,,Gutenberg,George,M,0.08552373236220172
G-A-Henty-The-Tiger-of-Mysore-A-Story-of-the-War-With-Tippoo-Sahib.txt,George Alfred Henty,The Tiger of Mysore: A Story of the War With Tippoo Saib,1895,,Fiction,,,British,Historical fiction; Tippoo Sultan; War,Gutenberg,George,M,0.09179094048920919
G-A-Henty-Through-the-Sikh-War-A-Tale-of-the-conquest-ofthe-Punjab-Fiction.txt,George Alfred Henty,Through the Sikh War: A Tale of the Conquest of the Punjab,1894,,Fiction,London,Blackie & Son,British,Historical fiction; Anglo-Sikh wars; Punjab,Gutenberg,George,M,0.0967130767418625
George-Manville-Fenn-Begumbach-A-Tale-of-the-Indian-Mutiny-Fiction.txt,George Manville Fenn,"Begumbagh, A Tale of the Indian Mutiny",1879,,Fiction,"London, Edinburgh",W. & R. Chambers,British,Historical fiction; Sepoy Mutiny; 1857,Gutenberg,George,M,0.04101530367136692
Georgene-Faulkner-The-White-Elephant-and-Other-Tales-from-Old-India-1929-fiction.txt,Georgene Faulkner,The White Elephant and Other Tales from Old India,1929,,Fiction,New York,P.F. Vollard Company,American,Juvenile Fiction,Gutenberg,Georgene,F,0.0843922729769774
Helen-S-Dyer-Pandita-Ramabai-The-Story-of-her-Life-1900-nonfiction.txt,Helen S. Dyer,Pandita Ramabai: The Story of Her Life,1900,,Nonfiction,New York,"Fleming H. Revell Company, Publishers of Evangelical Literature",American,Biography of Ramabai featuring long extracts of Ramabai's own writing,HathiTrust,Helen,F,0.12466153949206608
Henry-Louis-Vivian-Derozio-Poems-1923-poetry.txt,Henry Louis Vivian Derozio,Poems of Henry Louis Vivian Derozio: A Forgotten Anglo-Indian Poet,1829,,Poetry,Oxford,Humphrey Milford Oxford University Press,South Asian,,HathiTrust,Henry,M,0.17338204320874068
Inayat-Khan-and-Jessie-Duncan-Westbrook-Hindustani-Lyrics-1919-poetry.txt,Inayat Khanand Jessie Duncan Westbrook,Hindustani Lyrics,1919,,Poetry,London,Sufi Publishing Society,South Asian; British,Translations from Urdu poetry,Gutenberg,Inayat,F,0.1309636186560731
John-Lockwood-Kipling-Beast-and-Man-in-India.txt,John Lockwood Kipling,Beast and Man in India,1904,,Nonfiction,London,"Macmillan and Co., Limited",British,,Gutenberg,John,M,0.09191563992251475
Katherine-Mayo-Mother-India-1937-nonfiction-copyright.txt,Katherine Mayo,Mother India,1937,,Nonfiction,New York,,American,Gender; Religion; Copyright question,,Katherine,F,0.07051517321785784
Krupabai-Satthianadhan-Kamala-A-Story-of-Hindu-Life-1894-fiction.txt,Krupabai Satthianadhan,Kamala: A Story of Hindu Life,1894,,Fiction,Bombay,,South Asian; British,Gender; Religion,HathiTrust,Krupabai,F,0.11160951724430981
Leonard-Woolf-Stories-of-the-East-1921-fiction.txt,Leonard Woolf,Stories of the East,1921,,Fiction,London,Hogarth Press,British,,Gutenberg,Leonard,M,0.028049825997919275
Leonard-Woolf-The-Village-in-the-Jungle-1913-fiction.txt,Leonard Woolf,Village in the Jungle,1913,,Fiction,London,Edward Arnold,British,Ceylon; Sri Lanka,Gutenberg,Leonard,M,0.0051101880211072235
M-Frere-Old-Deccan-Days-or-Hindoo-Fariy-Legends-Current-in-Southern-India-1870-Fiction.txt,Mary Frere,"Old Deccan Days, Or Hindu Fairy Legends",1870,,Fiction,Philadelphia,Lippincott's Press,British,Folklore,Gutenberg,Mary,F,0.11493740656021689
Major-J-F-A-McNair-Oral-Tales-From-the-Indus-1908-fiction.txt,John Frederick Adolphus McNair and Thomas Lamberg Barlow,"Oral Tradition From the Indus, Comprised in Tales.",1908,,Fiction,Brighton,Cranbourne Printing Works,British,Folklore,Gutenberg,John,M,0.10620959093697711
Maud-Diver-Captain-Desmond-V-C-Fiction.txt,Maud Diver,"Captain Desmond, V.C.",1917,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg,Maud,F,0.08506631109464809
Maud-Diver-Far-to-Seek-Fiction.txt,Maud Diver,Far to Seek: A Romance of England and India,1921,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg,Maud,F,0.08606692268064826
Maud-Diver-Lilaman-1911-Fiction.txt,Maud Diver,Lilamani: A Study in Possibilities,1911,,Fiction,,,British,,HathiTrust,Maud,F,0.10851957243978706
Maud-Diver-The-Great-Amulet-1915.txt,Maud Diver,The Great Amulet,1908,,Fiction,"London, Edinburgh",William Blackwood and Sons,British,,Gutenberg,Maud,F,0.08442448176675559
Maud-Diver-Unconquered-1917-fiction.txt,Maud Diver,Unconquered,1917,,Fiction,New York,Knickerbocker Press,British,,HathiTrust,Maud,F,0.08646340318850655
Michael-S-Dutt-Sermista-A-Drama-in-Five-Acts-1859-drama.txt,Michael Madhusudan Dutt,Sermista; a drama in five acts,1859,,Drama,Calcutta,Stanhope Press,South Asian,Translated from Bengali by the Author,HathiTrust,Michael,M,0.1410594935962599
P-W-Jacob-Hindoo-Tales-or-The-Adventures-of-Ten-Princes-Translation-Fiction-1873.txt,Philip Whittington Jacob,"Hindoo Tales, or the Adventures of Ten Princes",1873,,Nonfiction,London,Stahan & Co.,British,"Translation from Sanskrit, The Dasakumaracharitam",Gutenberg,Philip,M,0.1490752481689755
Pandita-Ramabai-The-High-Caste-Hindu-Woman-1888-nonfiction.txt,Pandita Ramabai,The High Caste Hindu Woman,1888,,Nonfiction,Philadelphia,Tenth Thousand,South Asian,Gender; Religion; Caste,HathiTrust,Pandita,F,0.12016971088858416
Peary-Chand-Mitter-A-Biographical-Sketch-of-David-Hare-1877-nonfiction.txt,Peary Chand Mitra,A Biographical Sketch of David Hare,1877,,Nonfiction,Calcutta,W. Newman and Co.,South Asian,,,Peary,M,0.1365726521620287
Peary-Chand-Mitter-The-Spoilt-Child-A-Tale-of-Hindu-Domestic-Life-1893.txt,Peary Chand Mitra,The Spoilt Child (translation of Alaler Gharer Dulal),1893,1857.0,Fiction,Calcutta,"Thacker, Spink and Co.",South Asian,Translated by G. Oswell,,Peary,M,0.09827580981219423
Rabindanath-Tagore-Gitanjali-1913.txt,Rabindranath Tagore,Gitanjali (Song Offerings),1912,1910.0,Poetry,London,,South Asian,Translated by the author; Preface by W.B. Yeats,Gutenberg,Rabindranath,M,0.1102930601422353
Rabindranath-Tagore-Gora-1924.txt,Rabindranath Tagore,Gora,1924,1909.0,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,HathiTrust,Rabindranath,M,0.0884884620989521
Rabindranath-Tagore-Mashi-and-other-stories-1918.txt,Rabindranath Tagore,Mashi and Other Stories,1918,1914.0,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,Gutenberg,Rabindranath,M,0.07833434117538356
Rabindranath-Tagore-My-Reminisces.txt,Rabindranath Tagore,My Reminiscences,1917,1911.0,Nonfiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,Translation from Bengali,Gutenberg,Rabindranath,M,0.10119398558238862
Rabindranath-Tagore-Stories-From-Tagore-1918.txt,Rabindranath Tagore,Stories from Tagore,1918,,Fiction,"London, Bombay, Calcutta, Melbourne",Macmillan and Co.,South Asian,,Gutenberg,Rabindranath,M,0.09358060789747116
Rabindranath-Tagore-The-Gardener-1915.txt,Rabindranath Tagore,The Gardener,1915,1900.0,Poetry,,,South Asian,Translated from Bengali by the author,Gutenberg,Rabindranath,M,0.06688109897972877
Rabindranath-Tagore-The-Home-And-The-World-1919.txt,Rabindranath Tagore,The Home and the World,1919,1916.0,Fiction,,,South Asian,Translated from Bengali by Surendranath Tagore,Gutenberg,Rabindranath,M,0.08190432401585947
Rabindranath-Tagore-The-Hungry-Stones-and-other-stories.txt,Rabindranath Tagore,The Hungry Stones and Other Stories,1916,1895.0,Fiction,,,South Asian,Translated from Bengali by C.F. Andrews and the author,Gutenberg,Rabindranath,M,0.06925662738644188
Rabindranath-Tagore-The-Post-Office.txt,Rabindranath Tagore,The Post Office,1914,1912.0,Drama,London,Macmillan Company,South Asian,Translated from Bengali by Devabrata Mukherjee,Gutenberg,Rabindranath,M,0.0924900555296063
Rokeya-Sakhawat-Hossain-Sultanas-Dream-1905-fiction.txt,Rokeya Sakhwat Hossain,Sultana's Dream,1905,,Fiction,Madras,Indian Ladies' Magazine,South Asian,,,Rokeya,F,0.1426775913607017
Rudyard-Kipling-Departmental-Ditties-and-Barrack-Room-Ballads-Poetry.txt,Rudyard Kipling,Departmental Ditties and Barrack Room Ballads,1887,,Poetry,,,British,,Gutenberg,Rudyard,M,0.07473251655588084
Rudyard-Kipling-In-Black-and-White.txt,Rudyard Kipling,In Black and White,1895,,Fiction,London,Macmillan and Company,British,,Gutenberg,Rudyard,M,0.07644512273889922
Rudyard-Kipling-Just-So-Stories.txt,Rudyard Kipling,Just So Stories,1902,,Fiction,,,British,Juvenile fiction,Gutenberg,Rudyard,M,0.15921675255458467
Rudyard-Kipling-Kim.txt,Rudyard Kipling,Kim,1900,,Fiction,New York,Doubleday and Company,British,,Gutenberg,Rudyard,M,0.08089347013735668
Rudyard-Kipling-Plain-Tales-From-the-Hills.txt,Rudyard Kipling,Plain Tales from the Hills,1888,,Fiction,,,British,,Gutenberg,Rudyard,M,0.0667783618143388
Rudyard-Kipling-Soldiers-Three-Fiction.txt,Rudyard Kipling,Soldiers Three,1895,,Fiction,,,British,,Gutenberg,Rudyard,M,0.04760770570604968
Rudyard-Kipling-The-City-of-Dreadful-Night-1899-Fiction.txt,Rudyard Kipling,City of Dreadful Night,1885,,Fiction,New York,Alex. Grosset & Co.,British,,Gutenberg,Rudyard,M,0.07929815723931866
Rudyard-Kipling-The-Jungle-Book.txt,Rudyard Kipling,Jungle Book,1894,,Fiction,,,British,,Gutenberg,Rudyard,M,0.03740099163602172
Rudyard-Kipling-The-Man-Who-Would-Be-King.txt,Rudyard Kipling,Man Who Would be King,1910,,Fiction,London,,British,,Gutenberg,Rudyard,M,0.06087050611521167
Rudyard-Kipling-The-Phantom-Rickshaw.txt,Rudyard Kipling,Phantom Rickshaw and Other Ghost Stories,1888,,Fiction,,,British,,Gutenberg,Rudyard,M,0.04853549841764331
Rudyard-Kipling-The-Second-Jungle-Book-fiction.txt,Rudyard Kipling,Second Jungle Book,1895,,Fiction,,,British,,Gutenberg,Rudyard,M,0.04883327316258828
Rudyard-Kipling-and-Wolcott-Balestier-The-Naulahka-1891-fiction.txt,Rudyard Kipling and Wolcott Balestier,The Naulahka: A Story of West and East,1892,,Fiction,New York,"Doubleday, Page & Company","British, American",,HathiTrust,Rudyard,M,0.07206010717844692
S-B-Banerjea-Tales-of-Bengal-Fiction.txt,S.B. Banerjea,Tales of Bengal,1910,,Fiction,"New York, Bombay, Calcutta","Longmans, Green, and Co.",South Asian,Introduction by Francis H. Skrine,Gutenberg,S.B.,I,0.06635000646162785
S-M-Edwardes-By-Ways-of-Bombay-Fiction.txt,Stephen Meredyth Edwardes,By-Ways of Bombay,1912,,Nonfiction,,,British,Ethnography; Literary Quality,Gutenberg,Stephen,M,0.06288819835550169
Sara-Jeannette-Duncan-Hilda-A-Story-of-Calcutta-1898.txt,Sara Jeannette Duncan,Hilda: A Story of Calcutt,1898,,Fiction,New York,Frederick A. Stokes Company,Canadian,,Gutenberg,Sara,F,0.08909380483080866
Sara-Jeannette-Duncan-The-Burnt-Offering-1910-Fiction.txt,Sara Jeannette Duncan,Burnt Offering,1910,,Fiction,New York,John Lane Company,Canadian,,HathiTrust,Sara,F,0.06736325228059736
Sara-Jeannette-Duncan-The-Pool-in-the-Desert-Fiction.txt,Sara Jeannette Duncan,Pool in the Desert,1903,,Fiction,,,Canadian,,Gutenberg,Sara,F,0.10216977349818343
Sara-Jeannette-Duncan-The-Simple-Adventures-of-a-Memsahib.txt,Sara Jeannette Duncan,Simple Adventures of a Memsahib,1893,,Fiction,New York,Appleton and Company,Canadian,,Gutenberg,Sara,F,0.0892353514073671
Sara-Jeannette-Duncan-The-Story-of-Sonny-Sahib-1894.txt,Sara Jeannette Duncan,Story of Sonny Sahib,1894,,Fiction,,,Canadian,,Gutenberg,Sara,F,0.0670758667784235
Saratchandra-Chatterji-Srikanta-1922-fiction-translation.txt,Saratchandra Chatterji,Srikanta,1922,,Fiction,"London, Bombay, Calcutta, Madras","Humphrey Milford, Oxford University Press",South Asian,Translated by K.C. Sen and Theodosia Thompson,Wikisource,Saratchandra,M,0.047638574925159834
Sarojini-Naidu-The-Golden-Threshold-Poetry-1905.txt,Sarojini Naidu,Golden Threshold,1896,,Poetry,"London, Hyderabad",,South Asian,,Gutenberg,Sarojini,F,0.14083836390295387
Talbot-Mundy-A-Soldier-and-a-Gentleman-1914-fiction.txt,Talbot Mundy,A Soldier and a Gentleman,1914,,Fiction,,,American,,Wiksource,Talbot,M,0.05800002664006387
Talbot-Mundy-Case-13-1932-fiction-copyright.txt,Talbot Mundy,Case 13,1932,,Fiction,,Adventure Magazine,American,Copyright question,Gutenberg Australia,Talbot,M,0.02887490045846786
Talbot-Mundy-Caves-of-Terror-the-Grey-Mahatma-fiction.txt,Talbot Mundy,Caves of Terror: the Gray Mahatma,1924,,Fiction,,,American,,Wikisource,Talbot,M,0.07967351860092485
Talbot-Mundy-Guns-of-the-Gods-fiction.txt,Talbot Mundy,Gunds of the Gods: A Story of Yasmini's Youth,1921,,Fiction,Indianapolis,Bobbs-Merrill Company,American,,Gutenberg Australia,Talbot,M,0.09620293289638712
Talbot-Mundy-Hira-Singh-When-India-Came-to-Fight-in-Flanders.txt,Talbot Mundy,Hira Singh: When India Came to Fight in Flanders,1915,,Fiction,,,American,,Gutenberg,Talbot,M,0.09354866063143844
Talbot-Mundy-Hookum-Hai-1913-fiction.txt,Talbot Mundy,Hookum Hai,1913,,Fiction,,Adventure Magazine,American,,,Talbot,M,0.06614381733383752
Talbot-Mundy-King-of-the-Khyber-Rifles-A-Romance-of-Adventure-Fiction.txt,Talbot Mundy,King--of the Khyber Rifles,1916,,Fiction,London,Bobbs-Merrill Company,American,,Gutenberg,Talbot,M,0.0997105682906226
Talbot-Mundy-The-Red-Flame-of-Erinpura-fiction-1927.txt,Talbot Mundy,Red Flame of Erinpura,1927,,Fiction,,Adventure Magazine,American,Copyright question,Gutenberg Australia,Talbot,M,0.058309158711061126
Talbot-Mundy-The-Winds-of-the-World-1915-fiction.txt,Talbot Mundy,Winds of the World,1915,,Fiction,Toronto,George J. McLeod,American,,Wikisource,Talbot,M,0.0852623189065785
Toru-Dutt-Ancient-Ballads-And-Legends-of-Hindustan-1885.txt,Toru Dutt,Ancient Ballads and Legends of Hindustan,1885,,Poetry,London,"Kegan Paul, Trench & Co.",South Asian,Preface by Edmund W. Gosse,Gutenberg,Toru,M,0.1179678393602656
W-D-Arnold-Oakfield-or-Fellowship-in-the-East-1854-fiction.txt,William Delafield Arnold,"Oakfield; Or, Fellowship in the East",1855,,Fiction,Cambridge,"Metcalf and Company, Printers to the University",British,,HathiTrust,William,M,0.10616672803382016
W-S-R-Hodson-Twelve-Years-of-a-soldiers-life-in-india-1860-Mutiny-Nonfiction.txt,William Stephen Raikes Hodson,Twelve Years of a Soldiers' Life in India,1860,,Nonfiction,Boston,Ticknor and Fields,British,,Gutenberg,William,M,0.11088624717538388
